Persian lemmas,Persian Gloss,Arabic lemma (or gap),Arabic gloss
جد,پدربزرگ پدر یا مادر,GAP,
نوه,فرزند فرزند,GAP,
نتیجه,فرزند نوه,GAP,
نبیره,فرزند نتیجه,GAP,
"ندیده، نبینه",فرزند نبیره,GAP,
پسر,فرزند مذکر,ابن,الولد الذكر من الوالدين.
فرزند,دختر یا پسر,GAP,
دختر,فرزند مونث,بنت,الأنثى من الوالدين.
خواهرزاده,فرزند خواهر,GAP,
برادرزاده,فرزند برادر,GAP,
عمه زاده,فرزند عمه,GAP,
عموزاده,فرزند عمو,GAP,
دایی زاده,فرزند دایی,GAP,
خاله زاده,فرزند خاله,GAP,
ننه,مادر یا مادربزرگ,GAP,
"والد، والدین",پدر یا مادر/ پدر و مادر,والدین,الأب والأم.