Banjarese Lemma,Banjarese Definition,Indonesian Lemma,Indonesian Definition
mantah,balum masak balum waktunya gasan dijatu,mentah,makanan yang belum di masak atau di goreng
saray,salah satu guna saray nang lain adalah baunya kawa digunaakan gasan mengusir mamburu nyamuk baik salagi baujud tatanaman atawa jua minyaknya,serai,saray
bidara,sajanis puhun halus panghasil buah nang tumbuh di dairah karing,GAP,
hampap,sayur santan dengan ikan asin,GAP,
satrup,satrup atawa sirup matan basa arab sharab minuman anggur minuman wan online etymology dictionary syrup adalah cacahar nang likat wan baisi kadar gula talarut nang tinggi tagal parak kadada baisi kacandarungan gasan mangandapakan kristal kalikatan satrup marga ulih banyaknya ikatan hidrogen antara gugus hidroksil oh pada molekul gula talarut lawan molekul banyu nang malarutakannya,sirup,minuman segar yang dibuat dari campuran sirup dan es batu
babungku,"nama kuih matan tepung baras, santan, dan gula merah dibungkus dengan daun pisang, dikukus",babungku,makanan yang terbuat dari ketan yang dikukus dan diberi isian manis seperti kelapa parut dan gula merah
kancur,kancur kaempferia galanga l adalah ngaran tanaman hirbal nang baisi manpaat pananamba tanaman ngini hidup di dairah trupis duwa subrtrupis kancur dipakai gasan industri lawan didapur nang kada hasan tatamba haja tagal dipakai juwa gasan dimakan diminum nang bagus gasan kasihatan,kencur,"tanaman yang mempunyai akar batang yang tertanam di dalam tanah, biasa dipakai untuk bahan rempah-rempah dan ramuan obat; Bagian tanaman kencur yang sering digunakan adalah rimpang, akar dan daun."
pacal,pacal atawa pecel adalah makanan nang diulah matan sayur bajarang kaya kacang panjang bayam kacambah nang dilingir lawan kuah sambal kacang pecel nomina makanan yang terdiri atas sayuran rebus seperti kacang panjang bayam taoge yang disiram dengan kuah sambal kacang dan sebagainya,pecel,"makanan yang terdiri atas sayuran rebus, seperti kacang panjang, bayam, taoge yang disiram dengan kuah sambal kacang dan sebagainya."
bingka,wadai has Banjar nang rasanya liwar manis,bingka,"kue yang terbuat dari tepung, gula, telur, dan santan, biasanya dibentuk dalam loyang dan dipanggang hingga matang"
roti taboon,roti taboon adalah roti datar matan timur tengah roti taboon adalah sabuah wrap nang dipakai dalam babarapa masakan jenis roti datar ngini biasanya dipanggang dalam panggang tabun wan dipasangi lawan isian nang balainan,GAP,
babal,buah nangka yang masih sangat kecil,GAP,
langsat roko,"sejenis langsat yang bentuk buahnya lebih bulat, kulit lebih tebal, biji lebih besar, dan rasa lebih asam",GAP,
karupuk gumbili,karupuk nang diulah matan ubi,kerupuk singkong; kerupuk ubi,kerupuk yang berasal dari singkong
papare,papare momordica charantia suku waluh waluhan atawa cucurbitaceae adalah sejenis tanaman malancar awan buahnya panjang bagerigi dan runcing hujungnya buahnya nang berasa pahit biasa diulah sabagai sayur pariannya pada gado gado pecel rendang atau gulai,GAP,
rabuk,rabuk atawa jabu adalah daging cincang nang sudah dilembut akan dididihakan imbah itu disanga biasanya warnanya soklat tarang sampay pinda hirang jabu tampilannya kaya serat musababnya inya dasar didominasi ulih serat serat otot nang sudah karing daging sapi rancak diguna akan gasan meulah jabu tapi ada jua jabu hayam babi iwak wan kambing,abon,"makanan yg dibuat dr daging sapi, ayam, ikan yg direbus, lalu dicabik-cabik menurut seratnya, diberi bumbu kemudian digoreng"
kapul,kapul baisian ngaran ilmiah baccaurea macrocarpa buah kapul tamasuk buah khas asli kalimantan atawa urang manyambat buah indigenous nang takapinggirakan bahkan manpaat nutrisi di dalamnya dianggap kada talalu panting ngaran lain nang dipinandui matan buah ini adalah tampoi,GAP,
hundang talampis,hundang laut kacui nang membuat terasi dsb,GAP,
kakulih,ngaran wadai taulah matan galapung baras dibari pandan harum disumap nang kaya agar agar dimakan bakuah gula habang,GAP,
hundang sapit,hundang nang sapit dan basapit,udang sapit,udang kecil yang bisa sapit
lakatan serundeng,lakatan serunding adalah wadai khas indunisia khususnya bubuhan betawi wan banjar nang tadiri matan lakatan nang dibari serundeng sarunding atawa nyiur parut nang dicampur lawan gula habang daun limau daun salam lawan asam kamal,lakatan serundeng,wadai khas banjar nang ditambahi serundeng
kelemben,kelemben atawa wadai kelemben atawa ada jua nang manyambat kulambin bahasa indunisia bolu adalah wadai nang diulah matan bahan dasar galapung gula lawan hintalu kelemben biasanya dipanggang tagal ada jua pang nang disumap wadai ngini rancak dipakai gasan makanan panutup imbah makan atawa jua gasan wadai istimewa gasan acara kawinan atawa ulang tahun,bolu,"kue yg dibuat dr adonan tepung terigu, telur, gula pasir, dsb"
risturan hancap surung,rumah makan nang manyurungakan makanan wan kinuman dalam waktu rilatip satumat matan panampahan sampai panyurungan ka palanggan rancaknya surungan barupa hamburger atawa ayam basanga,rumah makan siap saji,rumah makan yang menghidangkan makanan dan minuman dalam waktu relatif singkat dari pemesanan sampai penyajian kepada pelanggan.
gangan asam patin,sayur asam yang ditambahi ikan patin,GAP,
pais waluh,panganan dari waluh nang dibungkus daun pisang,GAP,
durian,"ngaran tumbuhan tarupis nang bamula matan Asia Tanggara, sakaligus ngaran buahnya nang kawa dimakan",durian,"jenis tumbuhan yg buahnya berkulit tebal dan berduri, Durio zibethinus"
tih limau,tih nang ditambahi limau,teh limau,teh yang di kasih perasan limau
sunduk lawang,"nama kuih khas Banjar berbahan dasar tepung, santan, gula, dan air, dibungkus daun pisang bentuknya bulat panjang kecil lalu dikukus",GAP,
bilungka,"buah panjang nang warna hijau, kawa dimakan mentah atau baacar",bilungka; timun; mentimun,buah panjang nang bawarna kuning sering di gunakan buat penambah rasa di es camour
nasi padapatan,nasi nang ada di pangantinan urang banjar,GAP,
tasmak,"buah kasemek, Diospyros kaki",GAP,
uyah padu,ref kata injaman matan bahasa jawa yato uyah atawa garam dapur adalah sajanis minaral nang rancak dimakan ulih manusia bantuknya karistal putih karancakannya dihasilakan tumatan banyu laut biasanya uyah padu nang tasadia sacara umum adalah natrium klorida nacl,garam dapur,sejenis mineral yang dapat membuat rasa asin. Biasanya garam dapur yang tersedia secara umum adalah Natrium klorida (NaCl) yang dihasilkan oleh air laut.
hayam,"unggas nang kada bisa tarabang, kawa diingu, baciri khas suara kangku'uk",ayam,ayam
kakumbu,kakumbu adalah salah satu wadai khas suku banjar nang ada di kalimantan selatan wadai ini bentuknya bulat lepeh kakumbu diulah dari kacang hijau bajarang nang digiling dicampur lawan nyiur galapung baras gula habang gula pasir wan disanga pakai adunan galapung kakumbu nyaman dimakan pas lagi panas atawa hangat cara maulah wadai kakumbu gin kada ngalih bahan bahannya nyaman dicari di pasar,GAP,
balinjan,"tumbuhan matan kulawarga Solanaceae, tumbuhan asli Amirika Tangah wan Salatan, tumatan Meksiko sampai Peru",GAP,
jaruk bawang basihung,asinan matan bawang putih,GAP,
tumpiangin,tumpiangin atawa rampaya adalah sajanis makanan palangkap matan kalumpuk sanggar sacara umum tumpiangin adalah sanggar galapung gandum nang dicampur lawan banyu hampai jadi adunan kantal dibari bumbu nang kaya uyah wan bawang putih wan jua dibari bahan isian nang has biasanya biji kacang tanah atawa kadalai galapung di sia adalah gasan paikat isian kawa jua iwak nang ganalnya kaya kacang cuntuhnya kaya iwak junu jingking atawa larun wayahini urang jua maulah tumpiangin matan daun bayam,GAP,
kacang hampap,kacang nang sedang enak disayur dengan santan,GAP,
nangka hijau,"tumbuhan baguna nang ba'asal matan Karibia, Amirika Tengah wan Amirika Selatan",nangka,"pohon, buahnya berwarna hijau kekuning-kuningan, berkulit tebal, berduri tidak tajam"
untuk,wadai nang babantuk bulat atawa bulat panjang babahan galapung diisii hinti kacang pisang wan lain lain atawa kadada isinya wan diulah lawan cara disumap atawa disanga,GAP,
wadai ambikuk,wadai khas Banjar matan singkong parut,kue ambikuk,kuea khas Banjar yang terbuat dari singkong parut
apam barabai,"wadai khas dari Barabai nang diulah dari galapung baras IR42, karana baras janis ini nang cucuk gasan bahan pambuatannya",apam barabai,wadai khas barabai
palajau,ngaran tanaman nang banyak tumbuh di higaan sungai yang kawa dimakan buahnya,GAP,
gula batu,gula batu atawa gulaan adalah sajanis gugulaan gula gula confectionary nang diulah lawan cara mancairakan gula di dalam banyu pabidaan hingkat pamanasan manantuakan janis gula batu gulaan nang dihasilakan suhu panas mahasilakan gulaan karas suhu manangah mahasilakan gulaan lamah wan suhu dingin mahasilakan gulaan kanyul gulaan dinikmati marga rasa manisnya,gula batu; permen,gula-gula yang bau dan rasanya mengandung campuran minyak perangsang (dari tumbuhan)
humbut,"ujung batang (nyiur, enau dsb) nang masih muda dan lunak serta dapat di makan, umbut",GAP,
jambu siran,buah nang bentuknya mirip hidung bekantan,GAP,
tiwadak,tiwadak adalah tanaman buah buahan matan kulaan moraceae bantukan rasa wan harumnya nangkaya nangka tagal baunya tamirip durian,tiwadak,makanan kulit nangka yang di goreng
sulada,"nama semacam makanan Banjar, berbahan seperti selada, ditambah daging nang dimasak seperti semur, disiram kuah daging tersebut",GAP,
suklat,puhun nang tarmasuk janis tanaman dairah panas nang baisi tinggi kurang lbih 5 6 m babunga wan babuah saban tahun buahnya warna ungu atawa kuning bagantung lawan batang nang ganal babantuk lunjung nang kawa diulah jadi bubuk atawa kristal hagan diulah makanan atawa minuman,GAP,
hundang papai,ebi,udang rebon; udang papai,undang nang hidup di laut dan danau
wadai alpukat,brownis alpukat adalah brownies nang di ulah mamakai alpukat gasan bahan utamanya alpukat nang lembek banar bisa bapangaruh di tekstur hinggan tingkat kakantalan hidangannya kacang hitam jua kawa dipakai dalam hidangan wan dipakai didalam tepung,kue alpukat,"sebuah kue yang dibuat menggunakan bahan alpukat sebagai bahan utamanya, bersama dengan jenis bahan-bahan kue lainnya."
gangan gadang,"sayur nang diulah matan bagian tengah batang pohon pisang, biasanya disuguhkan pada acara perkawinan Banjar",GAP,
tampuyak,"tempoyak, asinan durian, durian nang diasinkan sebagai sambal",tempoyak,makanan yang difermentasi dengan cara tertentu
mi habang,mi habang adalah hidangan nang bantukannya mi nang babalang habang wan banyak ditamui di banjarmasin mi ngini biasanya disajiakan lawan bakso lawan karupuk pangsit mi nang dipakai adalah mi nang diulah matan galapung gandum banyu uyah nang ditambahkan pawarna habang pawarna habang ngini nang maulah mi babalang habang nang hingga jadi sambatan urang banjar gasan manggalari makanan ngini,mi merah,mie yang bewarna merah
jaruk tigarun,asinan matan bunga tigarun,GAP,
ambai,"ngaran semacam tumbuhan merambat, buahnya enak sebagai asinan",ambai,tumbuhan nang ada di sungai merambai rambai
guguduh barandam,"makanan tradisional diulah matan pisang nang dicelupkan pada adonan terigu lalu direbus hingga matang, dimakan dengan santan segar dan gula merah nang dicairkan lebih enak dengan pecahan es batu",GAP,
gangan bilungka,sayur ketimun,GAP,
gangan asam,sayur asam,sayur asem,"Sayur asam atau sayur asem adalah masakan sejenis sayur yang khas Indonesia. Ada banyak variasi lokal sayur asam seperti sayur asam Jakarta (variasi dari orang Betawi di Jakarta), sayur asam kangkung (variasi yang menggunakan kangkung), dan sayur asam ikan asin."
jaruk bawang basihung,asinan matan bawang putih,GAP,
hintalu bajaruk,hintalu bajaruk adalah istilah umum gasan makanan babahan dasar hintalu nang diawitakan lawan cara dijaruk diuyahi banyak gasan manonaktifakan enzim perombak kabanyakan hintalu nang dijaruk adalah hintalu itik walaupun kada manutup kamungkinan gasan hintalu hintalu nang lain hintalu bajaruk baik gasan dikonsumsi dalam waktu satu bulan 30 hari,telur asin,telur itik yang di awetkan
nasi kakal,nasi ketan yang baru dikukus,GAP,
papagan,simpanan makanan,GAP,
pupudak,"kuih nang diulah matan tepung baras, santan dan gula, dibungkus daun pisang berbentuk tonjong lalu direbus",GAP,
dami,"asinan kulit cempedak/nangka, setelah digoreng/dimasak daripada dijadikan lauk/sayur",GAP,
gangan tiwadak baparung,"sayur nang dibuat matan cempedak muda nang dibakar lalu stelah dibersihkan kulitnya, dimasak dengan santan dan bumbu",GAP,
apam batil,"wadai nang dibuat matan tepung beras, santan, gula merah/putih, dan tape singkong",GAP,
halal,makanan nang boleh dimakan umat Muslim,halal,makanan yang di perbolehkan oleh umat islam
pampakin,"ngaran buah sajanis durian. Buah ngini jua dipinandui lawan babarapa ngaran lain, kaya durian kuning, durian tinggang, durian pulu, nyakak, ruas, sakawi, pakawai, wan lain-lain",GAP,
tatarukan,"pucuk-pucukan, sayur-sayuran",GAP,
mi soto banjar,mi nang dimasak ngaran kuah soto banjar,mi soto banjar,"mi soto banjar yang disajikan dalam kuah kaldu ayam atau daging yang kaya rempah, bersama dengan bahan tambahan seperti ayam, daging sapi, telur rebus, dan sayuran seperti tauge dan daun bawang"
jintan,tanaman malayap nang biginya kawa dipakai gasan rarampah duwa tatamba jintan atawa ngaran lainnya cumin rancak dipakai gasan bumbunya gulai opor duwa soto bigi jintan nang dipakai gasan rarampah panjangnya kikira 6 mm pabila disandingakan lawan adas ukurannya tahalus duwa takadap,jintan,tumbuhan menjalar yang bijinya dapat digunakan sebagai rempah-rempah dan obat-obatan.
sosis wina,sosis wina bahasa jerman wiener wurstchen wiener adalah sabuting sosis parboiled tipis nang sacara tradisional diulah matan daging babi wan sapi di dalam salubung usus domba imbahtu dibari asap suhu randah kata wiener adalah bahasa jirman gasan wina di austria istilah wiener kada biasa gasan manyambat makanan ngini nang biasanya disambat frankfurter wurstl,GAP,
limpasu,buah sukun,limpasu,buah sukun yamg memiliki kulit hijau daging putih
jaring,ngaran makanan matan paung tiwadak nang direbus dan dimakan dengan tahilala,GAP,
lumpur surga,kue lumpur surga adalah makanan mahirip agar agar matan santan nang tadua lapis bakalir hijau duwa putih nang tiba banjarmasin wadai ngini barasa bula bula matan santan wan pacah di ilat nang rancaknya dijadiakan pabukaan rahatan bulan puasa,lumpur surga,makanan yang sejenis puding
alua carmi,alua matan buah carmi,GAP,
nyiur,nyiur niur adalah ngaran tanaman matan suku hahanawan atawa arecaceae angguta sabubutingannya dalam genus cocos samunyaan bagian tanaman ngini kawa dipakai manusia makanya inya dianggap tanaman nang saraba kawa ngaran nyiur bisa jua dipakai gasan manyambat buah nang dihasilakan tumbuhan ngini jua,kelapa,"tumbuhan palma yg berpokok tinggi, buahnya ditutupi sabut dan tempurung yg keras, di dalamnya terdapat daging dan air; nyiur, Cocos nucifera"
sop mutiara,sop khas Banjar,GAP,
nasi sup,soto,nasi sop,nasi yang diberikan kuah berisikan sayur dan ayam suir serta ditambahkan telur
buah,bagian buah nang matang dan kawa dimakan,buah,bagian dari tanaman yang mengandung biji dan biasanya dimakan sebagai makanan
walatih,ulatih wadai bipang,GAP,
mandai,"asinan kulit cempedak/nangka, setelah digoreng/dimasak daripada dijadikan lauk/sayur",mandai,terbuat dari kulit nangka muda yang difermentasi dalam air garam
gangan tiwadak baparung,"sayur yang dibuat dari cempedak muda yang dibakar kemudian stelah dibersihkan kulitnya, dimasak dengan santan dan bumbu",GAP,
sarawa gumbili,sarawa matan gumbili,GAP,
jambu aer,jambu aer banjar kuala ngaran ilmiahnya syzygium aqueum adalah tatanaman nang tamasuk bubuhan kukulaan suku jambu jambuan atawa myrtaceae nang baasal tumat asia tunggara jambu aer sabujurnya babeda awan jambu semarang syzygium samarangense kulaan parak diinya nang jua baisi puhun dan buah hampir sarupa mahirip banar babarapa kultivarnya gin jua ngalih dibedaakan makanya am kadua duanya rancak dingarani awan ngaran umum jambu aer atawa jambu haja,jambu biji,jambu nang berisikan banyak air di dalamnya
balungan hayam,wadai has urang banjar kalimantan selatan ngaran wadai ini diambil matan bantuk nang mirip lawan jengger hayam atawa dalam bahasa setempat adalah balungnya ayam,GAP,
jalutung,"buah berbentuk bersegi seper belimbing, kulit tebal berwarna merah, isi buah berulas seperti manggis, dalam satu tangkai terdapat beberapa buah",GAP,
karupuk pipih,karupuk nang diulah matan iwak pipihlikan belida,GAP,
saur,makan sabalum subuh gasan urang nang handak bapuasa,sahur,Makan yang dilakukan Islam sebelum fajar selama bulan Ramadan sebagai persiapan untuk menjalani puasa sepanjang hari
cingkaruk,salah sabuting wadai khas banjar nang diulah matan baras lakatan nang disanga tapi kada baminyak imbah ngitu ditumbuk lawan gula wan paparutan nyiur,GAP,
papuluran,"makanan kecil, suguhan",cemilan; pencuci mulut; kudapan,hidangan penutup (buah-buahan dan sebagainya) yang dimakan setelah makan
pinang,bigi pinang digunaakan gasan manginang ulih masyarakat di kalimantan selatan tarutama bagi urang tuha manginang adalah kagiatan mamakan pinang nang dicampur daun sirih lawan kapur masyarakat nang manginang maanggap itu kawa manguatakan gigi kabiasaan manginang manjadi tradisi turun tamurun salain gasan manginang bigi pinang kawa jua dijadiakan bahan pawarna kain sasirangan khas suku banjar pawarna nang didapatakan matan zat alami kada manimbulakan karusakan alam nang kaya pawarna zat kimia,pinang,"Tanaman yang memiliki batang lurus dan ramping ini memiliki banyak sekali manfaat dan umum dikenal sebagai tanaman obat. Pemanfaatan tanaman pinang selain untuk ekspor ke Tiongkok dan beberapa negara Asia Selatan, di beberapa daerah Sumatra dan Kalimantan dimanfaatkan untuk acara seremonial seperti ramuan sirih pinang untuk upacara adat."
kuranji,"pohon berbuah anggota kulawarga Leguminosae, ganal buahnya kira-kira sama kaya buah anggur",GAP,
siwau,"buah yang mirip rambutan tetapi ukuran seperti kelengkeng dan rambutnya lebih pendek, daging susah dilepas dari biji",GAP,
wadai taradisiunal banjar,dalam adat wan budaya masarakat banjar kalimantan salatan kitihan manis atawa wadai adalah sabuting nang kada kawa tapisah wadai taradisiunal banjar nang bamacam macam baik barupa bantuk rasa wan warna maisaratakan sabuah makna nang tatian dalam kasaharian masarakat dalam ritual adat wadai banyak dipakai gasan sarana palangkap,kue tradisional banjar,"Kue Tradisional Banjar beragam baik berupa bentuk, rasa, dan warna mengisyaratkan sebuah makna yang terkandung dalam keseharian masyarakat. Kue Tradisional Banjar yang disebut juga dengan Wadai. Dalam ritual adat Wadai banyak digunakan sebagai sarana pelengkap."
dunti,pohon halus tumbuh di hutan bantuk daunnya nang kaya bulat intalu pucuknya dilayuakan wan dikaringakan gasan diulah minuman di pabrik wan nang lainnya,GAP,
pais sagu,"makanan matan sagu dan pisang nang dibungkus daun pisang, lalu dikukus, dimakan dengan nyiur parut dan air gula merah",GAP,
waluh,waluh atawa cucurbita spp jawa waluh indunisia labu adalah ngaran tanaman sakali tanam nang malayap nang mahasilakan buah gasan dimakan nang mana masih bakula lawan bilungka duwa milun waluh saurang kawa marujuk lawan ampat macam cucurbita yaitu waluh kuning cucurbita moschata waluh kabocha cucurbita maxima waluh pai japang cucurbita argyrosperma wan waluh manis cucurbita pepo nang mana tanaman ngini banyak tahaga di amirika utara irupa tangah australia salandia hanyar india wan nagara lainnya tamasuk indunisia,GAP,
putaran,"sejenis kuini tetapi buahnya berbentuk bulat, daging berserat banyak, aroma wangi yang khas, rasa manis asam, mengupas dengan cara memotong buah perlahan dan melingkar namun tidak sampai mengenai biji, bagian atas diputar sehingga terlepas dari biji, kemudian biji diputar dengan pisau sehingga terlepas dengan daging bagian bawah, setelah itu baru kulitnya dikupas",GAP,
kue,wadai adalah makanan ulam nang lain pada nasi wadai rajin rasanya banyak macamnya ada nang manis wan ada jua nang masin wadai rancak dimakan gasan camilan haja yang di ulah dari bahan galapung bisa gelapung baras gelapung sagu gelapung tapioka atau gelapung biasa wadai kampung rancak talihat di indunisia malaysia singapura wan belanda nang ada basajarah wan indunisia,kue,"penganan yg bahannya dr bermacam-macam adonan, dibuat dan dibentuk dng berbagai-bagai cara, macamnya banyak sekali"
sarawa,sarawa atawa kulak adalah panyigar hampul barupa jajarangan buah pisang gumbili gumbili layap salut biji nangka atawa umbi singkong nang dibari cairan manis wan gurih di ulah matan gula habang atawa gula jawa wan santan wan dibari daun pandan wangi sabagai pawangi sabagai tambahan kawa jua pakai kolang kaling,GAP,
sosis darah,susis darah atawa bahasa inggris blood sausage adalah susis nang ba isi ukuran ganal matan usus binatang nang diisi darah wan lalamakan susis ngini dimasak pakai cara dijarang sampai isinya bakaras lain pada mamakai darah babi susis kawa di ulah matan darah binatang lain nang kaya sapi anak sapi atawa dumba tagal hasilnya kada tapi baik,GAP,
kapulaga,kapulaga atawa ammomum cardamomum l adalah ngaran tanaman tatamba nang tanyaman ditanam wan diharagu marga rasuk ditanam di dairah trupis ada dua janis kapulaga nang biasa ditanam di indunisia yaitu kapulaga subarang elettaria cardamomum l wan kapulaga biasa kapulaga kada hanya dipakai di makanan tapi juwa gasan minuman duwa tatamba,kapulaga,"biji kapulaga dapat dikenali dari biji polongnya yang kecil, penampang irisan segitiga, dan berbentuk gelendong kumparan, dengan kulit luar yang tipis, dan biji hitam yang kecil."
jambu jalak,buah nang bentuknya mirip hidung bekantan,GAP,
balangkasua,"sejenis buah berbentuk bulat lebih besar sedikit dari anggur merah yang bagian dalamnya berwarna putih, bila sudah tua bagian luarnya merah keunguan dan manis, bila masih muda bagian luarnya hijau muda dan sepat",GAP,
dami,"asinan kulit cempedak/nangka, setelah digoreng/dimasak daripada dijadikan lauk/sayur",GAP,
gandasuli,nama buah berbentuk seperti jagung tetapi ukurannya sebesar kelingking bayi,gandasuli,Gandasuli (Hedychium coronarium J. Koenig) adalah jenis tumbuhan rempah-rempah yang berkhasiat pengobatan.[1] Bagian yang dimanfaatkan terutama adalah rimpangnya.
